original,semantic,context
"{'id': 'SP-0', 'question': 'Mr. and Mrs. Mustard have six daughters and each daughter has one brother. But there are only 9 people in the family, how is that possible?', 'answer': 'Each daughter shares the same brother.', 'label': 2, 'choices': ['Some brothers were not loved by family and moved away.', 'Some daughters get married and have their own family.', 'Each daughter shares the same brother.', 'None of above.'], 'choice_order': [2, 1, 0, 3]}","{'id': 'SP-0_SR', 'question': 'The six daughters of Mr. and Mrs. Mustard each have one brother. However, the family only consists of nine people; how is that possible?', 'answer': 'Each daughter shares the same brother.', 'label': 1, 'choices': ['Some brothers were not loved by family and moved away.', 'Each daughter shares the same brother.', 'Some daughters get married and have their own family.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-0_CR', 'question': 'A chess team have five players and each player has one coach. But there are only six participants in the team. How is that possible?', 'answer': 'Each player shares the same coach.', 'label': 0, 'choices': ['Each player shares the same coach.', 'Some players are backups and not allowed to play.', 'Some coach get a raise.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}"
"{'id': 'SP-1', 'question': 'A woman shoots her husband. Then she holds him underwater for over 5 minutes. Finally, she hangs him. But 5 minutes later they both go out together and enjoy a wonderful dinner together. How can this be?', 'answer': 'The woman was a photographer. She shot a picture of her husband, developed it, and hung it up to dry.', 'label': 0, 'choices': ['The woman was a photographer. She shot a picture of her husband, developed it, and hung it up to dry.', 'The woman gets arrested for murder after dinner.', 'The woman shoot her husband in a vedio game.', 'None of above.'], 'choice_order': [0, 1, 2, 3]}","{'id': 'SP-1_SR', 'question': 'An individual shoots their spouse. She continues by keeping him submerged for over five minutes. She hangs him finally. However, they go out together and have a fantastic supper together five minutes later. Why is this the case?', 'answer': 'The woman was a photographer. She shot a picture of her husband, developed it, and hung it up to dry.', 'label': 2, 'choices': ['The woman shoot her husband in a vedio game.', 'The woman gets arrested for murder after dinner.', 'The woman was a photographer. She shot a picture of her husband, developed it, and hung it up to dry.', 'None of above.'], 'choice_order': [2, 1, 0, 3]}","{'id': 'SP-1_CR', 'question': 'A woman shoots publicly toward people at National Park, the park is full of people, but no one gets killed. How is that possible?', 'answer': 'The woman was a photographer.', 'label': 0, 'choices': ['The woman was a photographer.', 'The woman was terrible at shooting, and people succeeded in running away.', 'The woman wanted to cause chaos.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}"
"{'id': 'SP-2', 'question': ""Samuel was out for a walk when it started to rain. He did not have an umbrella and he wasn't wearing a hat. His clothes were soaked, yet not a single hair on his head got wet. How could this happen?"", 'answer': 'This man is bald.', 'label': 1, 'choices': ['This man walk upside down to avoid rain.', 'This man is bald.', ""He is made of a material that doesn't absorb water, such as stone, metal, or plastic."", 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-2_SR', 'question': ""Rain began to fall as Samuel was taking a stroll. He wasn't wearing a hat, and he didn't have an umbrella. Even though his clothes were completely drenched, not a single hair on his head was moist. How is this even possible?"", 'answer': 'This man is bald.', 'label': 1, 'choices': ['This man walk upside down to avoid rain.', 'This man is bald.', ""He is made of a material that doesn't absorb water, such as stone, metal, or plastic."", 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-2_CR', 'question': 'Tom is a clean freak but he never dries his hair after a shower. How is this possible?', 'answer': 'This man is bald.', 'label': 0, 'choices': ['This man is bald.', 'He tries to stand upside down druing shower to avoid rain.', ""He is made of a material that doesn't absorb water, such as stone, metal, or plastic."", 'None of above.'], 'choice_order': [0, 2, 1, 3]}"
"{'id': 'SP-3', 'question': 'A man rode out of town on Sunday, he stayed a whole night at a hotel and rode back to town the next day on Sunday. How is this possible?', 'answer': 'His Horse was called Sunday.', 'label': 2, 'choices': ['The hotel room is so expansive that the man come back directly.', 'The town he stayed in have different calendars.', 'His Horse was called Sunday.', 'None of above.'], 'choice_order': [1, 2, 0, 3]}","{'id': 'SP-3_SR', 'question': 'A\xa0man left town on Sunday, spent the entire night in a motel, and then rode back the next day, again on Sunday. How is that even possible?', 'answer': 'His Horse was called Sunday.', 'label': 1, 'choices': ['The hotel room is so expansive that the man come back directlt.', 'His Horse was called Sunday.', 'The town he stayed in have different calendars.', 'None of above.'], 'choice_order': [1, 0, 2, 3]}","{'id': 'SP-3_CR', 'question': 'On Friday, the man rode out of town to pick some berries, 2 hours later, he rode back on Sunday. How is that possible?', 'answer': 'His Horse was called Sunday.', 'label': 2, 'choices': ['The town he stayed in have different calendars.', 'The man is too exhausted that he forgot his way home.', 'His Horse was called Sunday.', 'None of above.'], 'choice_order': [2, 1, 0, 3]}"
"{'id': 'SP-4', 'question': 'Romeo and Juliet are found dead on the floor in a bedroom. When they were discovered, there were pieces of glass and some water on the floor. The only furniture in the room is a shelf and a bed. The house is in a remote location, away from everything except for the nearby railroad track. What caused the death of Romeo and Juliet?', 'answer': 'Romeo and Juliet are fish. The rumble of the train knocked the tank off the shelf, it broke and Romeo and Juliet did not survive.', 'label': 1, 'choices': ['The rumble of the train moved the shelf which crushed them.', 'Romeo and Juliet are fish. The rumble of the train knocked the tank off the shelf, it broke and Romeo and Juliet did not survive.', 'They were sleeping and scared by the sound of track.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-4_SR', 'question': 'Romeo and Juliet are discovered dead on the bedroom floor. Glass shards and some water were on the floor when they were found. A bookcase and a bed are the sole pieces of furniture in the space. Other than the neighboring railroad track, the house is located in a rural area. How is that even doable?', 'answer': 'Romeo and Juliet are fish. The rumble of the train knocked the tank off the shelf, it broke and Romeo and Juliet did not survive.', 'label': 1, 'choices': ['They were sleeping and scared by the sound of track.', 'Romeo and Juliet are fish. The rumble of the train knocked the tank off the shelf, it broke and Romeo and Juliet did not survive.', 'The rumble of the train moved the shelf which \ncrushed them.', 'None of above.'], 'choice_order': [1, 0, 2, 3]}","{'id': 'SP-4_CR', 'question': 'A sudden\xa0wave knocked Jack out of the water when he was swimming on the beach; he died five minutes later. How is that possible?', 'answer': 'Jack is a fish in the ocean.', 'label': 2, 'choices': ['Jack needs to to go to the hospital but no one is welling to help.', 'Jack is so scared of the water.', 'Jack is a fish in the ocean.', 'None of above.'], 'choice_order': [2, 1, 0, 3]}"
"{'id': 'SP-5', 'question': 'Five apples are in a basket. How do you divide them among five girls so that each girl gets an apple, but one apple remains in the basket?', 'answer': 'Give the fifth girl her apple in the basket.', 'label': 1, 'choices': ['One girl is polite and return her apple back.', 'Give the fifth girl her apple in the basket.', 'Two girls decide to share one apple.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-5_SR', 'question': 'There are five apples in a basket. You distribute them among the five girls, giving each one an apple while leaving one apple in the basket. How is that even doable?', 'answer': 'Give the fifth girl her apple in the basket.', 'label': 1, 'choices': ['One girl is polite and return her apple back.', 'Give the fifth girl her apple in the basket.', 'Two girls decide to share one apple.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-5_CR', 'question': 'There is a peculiar vase holding seven magical beans. You must distribute these beans among seven sorcerers, ensuring each one gets a bean, but still leaving one bean in the vase. How could this enchanting scenario occur?', 'answer': 'Hand over the final bean to the seventh sorcerer without removing it from the vase', 'label': 0, 'choices': ['Hand over the final bean to the seventh sorcerer without removing it from the vase', 'One sorcerers is polite and return her apple back.', 'Two sorcerers decide to share one apple.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}"
"{'id': 'SP-6', 'question': ""Tom and his younger sister were fighting. Their mother was tired of the fighting and decided to punish them by making them stand on the same piece of newspaper in such a way that they couldn't touch each other. How did she accomplish this?"", 'answer': ""Tom's mother slid a newspaper under a door, each sibling standing on each side."", 'label': 2, 'choices': ['The newspaper was folded in multiple times and end up with a special shape. ', 'Tom and his younger sister to stand on the newspaper back-to-back.', ""Tom's mother slid a newspaper under a door, each sibling standing on each side."", 'None of above.'], 'choice_order': [2, 1, 0, 3]}","{'id': 'SP-6_SR', 'question': ""Tom was arguing with his younger sister. Because of the fighting, their mother decided to have them stand on the same piece of newspaper so they couldn't touch each other as punishment. How did she manage to do this?"", 'answer': ""Tom's mother slid a newspaper under a door, each sibling standing on each side."", 'label': 1, 'choices': ['Tom and his younger sister to stand on the newspaper back-to-back.', ""Tom's mother slid a newspaper under a door, each sibling standing on each side."", 'The newspaper was folded in multiple times and end up with a special shape. ', 'None of above.'], 'choice_order': [1, 0, 2, 3]}","{'id': 'SP-6_CR', 'question': ""A couple is having a disagreement over the man's error. The man kept apologizing and pleading with the woman to allow him to see her directly. The woman was still upset thus she wouldn't agree. The couple, though, was positioned on the same mat. How is that even doable?"", 'answer': "" The couple was standing on two sides of the girl's apartment door, which had a rug under it."", 'label': 2, 'choices': ['The mat was folded in multiple times and end up with a special shape. ', 'The woman kept turning her back to the man.', "" The couple was standing on two sides of the girl's apartment door, which had a rug under it."", 'None of above.'], 'choice_order': [2, 1, 0, 3]}"
"{'id': 'SP-7', 'question': 'A horse is tied to a five-meter rope in front of an old saloon. Six meters behind the horse is a bale of hay. Without breaking his rope, the horse is able to eat the hay whenever he chooses.\nHow is this possible?', 'answer': 'The rope is not tied to anything else.', 'label': 1, 'choices': ['The rope stretches proportionally, providing the extra length needed for the horse to reach the hay six meters away.', 'The rope is not tied to anything else.', 'The walls of the saloon retract or collapse inwards, creating more space for the horse to reach the hay.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-7_SR', 'question': 'In front of an old saloon, a horse is chained to a five-meter rope. Hay bale is six meters behind the horse. The horse can eat the hay whenever he wants without severing his rope.\xa0How is that even possible?', 'answer': 'The rope is not tied to anything else.', 'label': 1, 'choices': ['The rope stretches proportionally, providing the extra length needed for the horse to reach the hay six meters away.', 'The rope is not tied to anything else.', 'The walls of the saloon retract or collapse inwards, creating more space for the horse to reach the hay.', 'None of above.'], 'choice_order': [2, 0, 1, 3]}","{'id': 'SP-7_CR', 'question': 'If a boat is parked in a marina and tied to a nearby station, how did its owner found the boat a couple of hours later in the middle of the ocean?', 'answer': ""The station wasn't fixed in the marina"", 'label': 2, 'choices': ['A theft secretly untied the boat from its mooring and skillfully navigated it out of the marina without being noticed.', 'The intense weather conditions or powerful currents carried the boat away from the marina.', ""The station wasn't fixed in the marina"", 'None of above.'], 'choice_order': [1, 2, 0, 3]}"
"{'id': 'SP-8', 'question': 'All of Mrs. Smith pets are dogs except one, and all her pets are cats except one. But Mrs.Smith only has 2 pets, how is that possible?', 'answer': 'Mrs. Smith has one cat and one dog.', 'label': 0, 'choices': ['Mrs. Smith has one cat and one dog.', 'Mrs.Smith has one hybrid pet that is a dog and a cat at the same time. ', 'Mrs.Smith has one additional pet that is neither a dog or a cat.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}","{'id': 'SP-8_SR', 'question': ""All but one of Mrs. Smith's pets are dogs, and all but one are cats. But how is it possible that Mrs. Smith only has two pets?"", 'answer': 'Mrs. Smith has one cat and one dog.', 'label': 0, 'choices': ['Mrs. Smith has one cat and one dog.', 'Mrs.Smith has one additional pet that is neither a dog or a cat.', 'Mrs.Smith has one hybrid pet that is a dog and a cat at the same time. ', 'None of above.'], 'choice_order': [0, 1, 2, 3]}","{'id': 'SP-8_CR', 'question': ""All but one of Mr. Brown's cars are red, and all but one are blue. However, Mr. Brown only has two cars. How is this possible?"", 'answer': 'Mr. Brown has one red car and one blue car.', 'label': 0, 'choices': ['Mr. Brown has one red car and one blue car.', 'Mrs.Smith has one car that is blue and red at the same time.', 'Mrs.Smith has one additional car that is neither a red or a blue.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}"
"{'id': 'SP-9', 'question': 'The 22nd and 24th presidents of the United States of America had the same parents, but were not brothers. How can this be possible?', 'answer': 'They were the same man. ', 'label': 2, 'choices': ['he term ""parents"" represents influential figures who played a significant role in both presidents\' lives. ', 'The person encounters a time-traveling event or enters an alternate reality that alters the timeline.', 'They were the same man. ', 'None of above.'], 'choice_order': [2, 1, 0, 3]}","{'id': 'SP-9_SR', 'question': 'Despite sharing the same parents, the 22nd and 24th presidents of the United States of America were not related. How is this even conceivable?', 'answer': 'They were the same man.', 'label': 2, 'choices': ['he term ""parents"" represents influential figures who played a significant role in both presidents\' lives. ', 'The person encounters a time-traveling event or enters an alternate reality that alters the timeline.', 'They were the same man.', 'None of above.'], 'choice_order': [2, 1, 0, 3]}","{'id': 'SP-9_CR', 'question': 'The coaches of the first and the fifth national basket ball champion shares the same parents, but were not brothers. How can this be possible?', 'answer': 'They were the same man.', 'label': 0, 'choices': ['They were the same man.', 'The coaches of the first and fifth national basketball champions are not human beings but rather robotic coaches.', 'The person encounters a time-traveling event or enters an alternate reality that alters the timeline.', 'None of above.'], 'choice_order': [0, 2, 1, 3]}"
