question,0,1,2,3,gpt,gpt-raw
"In a small village, two farmers are working in their fields - a diligent farmer and a lazy farmer. The hardworking farmer is the son of the lazy farmer, but the lazy farmer is not the father of the hardworking farmer. Can you explain this unusual relationship?",The lazy farmer is his mother.,The lazy farmer is not a responsible father as he is lazy.,The diligent farmer devoted himself to the farm and gradually forgot his father.,None of above.,0,"Option 1: ""The lazy farmer is his mother."""
"Romeo and Juliet are discovered dead on the bedroom floor. Glass shards and some water were on the floor when they were found. A bookcase and a bed are the sole pieces of furniture in the space. Other than the neighboring railroad track, the house is located in a rural area. How is that even doable?",They were sleeping and scared by the sound of track.,"The rumble of the train moved the shelf which 
crushed them.","Romeo and Juliet are fish. The rumble of the train knocked the tank off the shelf, it broke and Romeo and Juliet did not survive.",None of above.,2,"Option 3: ""Romeo and Juliet are fish. The rumble of the train knocked the tank off the shelf, it broke and Romeo and Juliet did not survive."""
How many years in your life it happens that before your birthday you'd be one year younger than tomorrow,In ech leap year.,In the first year of graduation.,It happens every year.,None of above.,2,"Option 3: ""It happens every year."""
Who would serve as the team's captain if a crucial assistant captain departed from a sporting organization?,The first officer.,The captain.,The second officer.,None of above.,1,"Option 2: ""The captain."""
"In one city, 5% of the population has an unlisted phone number. How many persons will have unlisted phone numbers if you pick 100 names at random from that city's phone directory?",One hundred people.,Ninty-five people.,Five people.,None of above.,3,"Option 4: ""None of the above options are correct"""
"Two entries were on duty outside a barracks. One faced up the road to watch for anyone approaching from the North. The other looked down the road to see if anyone approached from the South. Suddenly one of them said to the other, ""Why are you smiling?"" How did he know that his companion was smiling?","Although the guards were looking in opposite directions, they were not back to back. They were facing each other.",One of the guards had an unusual vision so he can see what happend behind him.,The smiling guard's action is such big that even the guard behind him can see it.,None of above.,0,"Option 1: ""Although the guards were looking in opposite directions, they were not back to back. They were facing each other."""
"A man wagered $50 on his dog's ability to jump higher than a house. The neighbor took the wager, thinking it was impossible, and lost.
Why did he fail to win the bet?",A house can not jump.,That dog species were famous for their jumping ability.,The height of the tiny house is lower than the dog.,None of above.,0,"Option 1: ""A house can not jump."""
How many times can you divide 100 by 10?,Infinite time.,Once.,Two times.,None of above.,1,"Option 2: ""Once."""
"In a city, there are so many criminals that police cannot catch all of them and fit them in their prisons. This number is approximately 10% of the population of the city but no names are available. To start catching the rest of the criminals poilce starts checking the list of criminals they have in the prisons namebook with 200 names, and go out searching for the rest wandering in the city. How many can they find?",Twenty people.,Eighty people.,Two hundred people.,None of above.,3,"Option 4: ""None of the above options are correct"""
When did Christmas and New Year's Day fall on the same year?,In the period of BC.,It happens every year.,In the first year of each century.,None of above.,1,"Option 2: ""It happens every year."""
"A conscientious farmer formerly provided food for his roosters each day, but throughout the years, not a single egg was produced for him. How is it even imaginable?",His neighbor always stolen eggs away from him.,Because roosters don't lay eggs.,Roosters will eat their own eggs once they were laid.,None of above.,1,"Option 2: ""Because roosters don't lay eggs."""
"Mark was in a playground where somebody noticed a great player playing and with the announcements, gathered a lot of people. There were many great players from basketball, volleyball, football, and even swimmers, But Mark directly went to the footballer and took a photo with him. How did he know who was the person that people got excited for in the first place?",Since the playground was a football playground and the other players could've not been playing in the playground at the time of the announcement,"Since Mark was a crazy fan of football, only a football player can be considered as great player in his mind.","Since Mark stood closest to the football players, he only focused on football players and didn't notice others.",None of above.,0,"Option 1: ""Since the playground was a football playground and the other players could've not been playing in the playground at the time of the announcement"""
"There were five men at church, and it started raining while they were outside. The four that ran still got wet, but the one that was still stayed completely dry. Why did he stay dry?",The man is an athlete that can avoid rain in high speed.,"
The man was lucky enough to avoid all the rain.","He was in a coffin the other men were at his funeral.
",None of above.,2,"Option 3: ""He was in a coffin the other men were at his funeral."""
"On a Sunday afternoon, a woman spotted a bear in the distance. Rather than be afraid, she ran toward it excited. Why wasn't she afraid?","She was at the zoo.
",She become brave in sudden.,She tried to scare the bear.,None of above.,0,"Option 1: ""She was at the zoo."""
A man bet his friend that he can jump the distance from one house to another one. He won the bet. How?,He is a jumping athlete.,Two houses were wall-to-wall next to each other,"One house is much higher than another, providing him enough time to fly in the air.",None of above.,1,"Option 2: ""Two houses were wall-to-wall next to each other"""
"""The attorney is my brother,"" testified the accountant. But the attorney testified he did not have a brother. No one is lying, why?",The attorney was not loved by family and hadmoved away when he was young.,"The accountant was his sister.
",The attorney is angry about his brother not being a attorney and cut ties with him.,None of above.,1,"Option 2: ""The accountant was his sister."""
"""The attorney is my brother,"" the accountant testified. However, the attorney claimed that he did not have a brother. No one is lying, why?","The accountant was his sister.
",The attorney is angry about his brother not being a attorney and cut ties with him.,The attorney was not loved by family and had moved away when he was young.,None of above.,0,"Option 1: ""The accountant was his sister."""
Shopping is done by two mothers and two daughters. They divide the $21 they have equally amongst themselves. How is this even conceivable?,One mother give his $7 to his son.,Two daughters share the $7.,"They are one daughters, one mother and one grandmother.",None of above.,2,"Option 3: ""They are one daughters, one mother and one grandmother."""
A man has 9 children. Half of them are boys. How is this possible?,A man raises his children in both boy way and girl way.,One child is regarded as both boy and girl same time.,They are all boys.,None of above.,2,"Option 3: ""They are all boys"""
"You go to the doctor because you're sick, and he gives you three medicines to take every half hour.
How long do the drugs keep you going?",One and a half hours.,Two hours.,An hour.,None of above.,3,"Option 4: ""None of the above options are correct"""
"A guy bet his neighbor 50 bucks that his dog could jump higher than a house. Thinking this was not possible, the neighbor took the bet and lost.
Why did he lose the bet?",A house can not jump.,The height of the tiny house is lower than the dog.,That dog species were famous for their jumping ability.,None of above.,0,"Option 1: ""A house can not jump."""
"A group of students plan to go trekking in the afternoon, but one of them forgets to bring their rubber boots. But how is it possible that his feet are still dry after a lengthy stroll around the park?",The ground is not wet.,The one is walking on his hands.,"By walking on stilts, the one elevates his feet above the wet ground.",None of above.,1,"Option 2: ""The one is walking on his hands."""
"There was a farmer who wanted to go investigate a problem with his chicken coop. As soon as he arrived, he saw a rooster perched atop the barn. Now the barn had a top that resembled a triangle. However, the rooster unexpectedly laid an egg. How did it roll on that side?",It is possible the egg would roll down the middle of the triangle-shaped top of the barn.,It didn't because rosters don't lay eggs.," There is a hole in the roof. Furthermore, the egg dropped into the hole.",None of above.,1,"Option 2: ""It didn't because roosters don't lay eggs."""
"James was surrounded by several hungry bears, but the bears approached me just took a look and left. How is that possible？","James was at the zoo.
",It is too cold outside.,James is not healthy.,None of above.,0,"Option 1: ""James was at the zoo."""
"You go to the doctor because you're ill, and he prescribes you three pills and tells you to take them every half hour. How long do the pills last you?",One and a half hours.,An hour.,Two hours.,None of above.,2,"Option 3: ""Two hours."""
